iter	Logloss
0	0.6841641102
1	0.6752191711
2	0.6668314746
3	0.6605142497
4	0.6546795364
5	0.6486298912
6	0.6425096976
7	0.6340630888
8	0.6262637565
9	0.6215845088
10	0.6172947337
11	0.6129421483
12	0.6091252863
13	0.6048116689
14	0.5994513428
15	0.5959678659
16	0.5918272231
17	0.5892207337
18	0.5848957179
19	0.5815588982
20	0.5794106205
21	0.5759061511
22	0.5731554227
23	0.5697744979
24	0.5669546498
25	0.5628073245
26	0.5593627385
27	0.556146296
28	0.5529742366
29	0.5493617068
30	0.5461008591
31	0.5429112445
32	0.5410992218
33	0.5387405056
34	0.5369026895
35	0.5360852622
36	0.5344845099
37	0.5328258136
38	0.5309272154
39	0.5292612429
40	0.5280151346
41	0.5263292659
42	0.5243833717
43	0.5231613551
44	0.5213286084
45	0.5200042372
46	0.5186962614
47	0.5163149809
48	0.5144061119
49	0.5124824362
50	0.5114728913
51	0.5094790876
52	0.5083528826
53	0.506803823
54	0.5052904678
55	0.5035228313
56	0.5006731513
57	0.4993218034
58	0.4972353963
59	0.495717094
60	0.4940878812
61	0.4921124181
62	0.4913326748
63	0.4901855162
64	0.4894883288
65	0.489057551
66	0.4878951589
67	0.4862493171
68	0.4844806508
69	0.4829826433
