iter	Passed	Remaining
0	2	203
1	5	181
2	7	169
3	9	157
4	11	150
5	13	144
6	15	142
7	18	139
8	19	135
9	21	131
10	24	129
11	26	126
12	28	122
13	30	121
14	32	120
15	35	118
16	37	116
17	39	113
18	41	111
19	43	108
20	45	106
21	47	104
22	49	101
23	51	99
24	53	96
25	55	94
26	57	91
27	59	89
28	61	87
29	63	85
30	65	82
31	67	80
32	70	78
33	72	76
34	74	74
35	76	72
36	78	69
37	80	67
38	82	65
39	84	63
40	86	61
41	88	59
42	90	57
43	92	54
44	94	52
45	96	50
46	98	48
47	100	46
48	102	44
49	105	42
50	107	39
51	109	37
52	111	35
53	113	33
54	115	31
55	117	29
56	119	27
57	121	25
58	123	23
59	125	20
60	127	18
61	129	16
62	131	14
63	133	12
64	136	10
65	138	8
66	140	6
67	142	4
68	144	2
69	146	0
