target,strategy,fold,accuracy,f1,positive_rate
Q1,leave_subject_out,id01,0.4878048780487805,0.39999999999999997,0.4146341463414634
Q1,leave_subject_out,id02,0.5,0.6470588235294118,0.875
Q1,leave_subject_out,id03,0.30303030303030304,0.30303030303030304,0.15151515151515152
Q1,leave_subject_out,id04,0.543859649122807,0.5000000000000001,0.3508771929824561
Q1,leave_subject_out,id05,0.5909090909090909,0.6666666666666666,0.6136363636363636
Q1,leave_subject_out,id06,0.5625,0.2222222222222222,0.4166666666666667
Q1,leave_subject_out,id07,0.4897959183673469,0.5098039215686274,0.5306122448979592
Q1,leave_subject_out,id08,0.5357142857142857,0.35,0.30357142857142855
Q1,leave_subject_out,id09,0.5121951219512195,0.4444444444444444,0.36585365853658536
Q1,leave_subject_out,id10,0.30303030303030304,0.43902439024390244,0.7575757575757576
Q1,temporal,last_quarter_by_subject,0.46153846153846156,0.4793388429752066,0.4700854700854701
Q2,leave_subject_out,id01,0.5365853658536586,0.3448275862068966,0.14634146341463414
Q2,leave_subject_out,id02,0.6041666666666666,0.6415094339622642,0.4375
Q2,leave_subject_out,id03,0.48484848484848486,0.6382978723404256,0.6060606060606061
Q2,leave_subject_out,id04,0.6140350877192983,0.676470588235294,0.7017543859649122
Q2,leave_subject_out,id05,0.4772727272727273,0.30303030303030304,0.3181818181818182
Q2,leave_subject_out,id06,0.4791666666666667,0.46808510638297873,0.5833333333333334
Q2,leave_subject_out,id07,0.5510204081632653,0.6857142857142858,0.9183673469387755
Q2,leave_subject_out,id08,0.625,0.7529411764705882,0.7321428571428571
Q2,leave_subject_out,id09,0.5609756097560976,0.1818181818181818,0.0975609756097561
Q2,leave_subject_out,id10,0.5151515151515151,0.5294117647058824,0.48484848484848486
Q2,temporal,last_quarter_by_subject,0.5982905982905983,0.6518518518518518,0.5213675213675214
Q3,leave_subject_out,id01,0.4634146341463415,0.4761904761904762,0.43902439024390244
Q3,leave_subject_out,id02,0.6666666666666666,0.7419354838709677,0.5625
Q3,leave_subject_out,id03,0.5454545454545454,0.6938775510204083,0.7575757575757576
Q3,leave_subject_out,id04,0.6491228070175439,0.7674418604651163,0.7368421052631579
Q3,leave_subject_out,id05,0.5454545454545454,0.6551724137931035,0.6363636363636364
Q3,leave_subject_out,id06,0.4166666666666667,0.2222222222222222,0.25
Q3,leave_subject_out,id07,0.4897959183673469,0.5098039215686274,0.5306122448979592
Q3,leave_subject_out,id08,0.5178571428571429,0.5714285714285714,0.6785714285714286
Q3,leave_subject_out,id09,0.5121951219512195,0.5,0.5365853658536586
