strategy,target,accuracy,f1,positive_rate
leave_subject_out,Q1,0.48288395501741366,0.4482250771705578,0.4779942610723832
leave_subject_out,Q2,0.5448222532098381,0.52221062988671,0.5026091271495178
leave_subject_out,Q3,0.5170264412218383,0.5413934569525011,0.5370499171193743
leave_subject_out,S1,0.5341615789156134,0.6054328543687177,0.6097689285773826
leave_subject_out,S2,0.5534403448040437,0.6199053976381971,0.6394022899742229
leave_subject_out,S3,0.5708394114443537,0.6179625256279778,0.6540378404833751
leave_subject_out,S4,0.4366264191520931,0.4583371651039214,0.5449163919856658
temporal,Q1,0.46153846153846156,0.4793388429752066,0.4700854700854701
temporal,Q2,0.5982905982905983,0.6518518518518518,0.5213675213675214
temporal,Q3,0.6068376068376068,0.684931506849315,0.5897435897435898
temporal,S1,0.4700854700854701,0.5373134328358209,0.4444444444444444
temporal,S2,0.6410256410256411,0.7042253521126761,0.6153846153846154
temporal,S3,0.5897435897435898,0.6065573770491803,0.4188034188034188
temporal,S4,0.5384615384615384,0.5178571428571428,0.4358974358974359
