fold,target,submission_strategy,model_name,shrink_alpha,logloss
last_quarter_by_subject,Q1,history_blend,history,1.0,0.6891317326947701
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.0,0.7021005506647676
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.15,0.7363102829635011
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.25,0.7732595338124091
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.35,0.8234738633787181
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.5,0.9309562442039785
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,0.75,1.2681683603677143
last_quarter_by_subject,Q1,rule_subject_strategy_tuned,rule,1.0,5.353060218285473
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.15,0.7186507249756117
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.25,0.7379865791967748
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.35,0.7648661431683916
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.5,0.822608604207431
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,0.75,0.9950492348164502
last_quarter_by_subject,Q1,model_logistic_regression,logistic_regression,1.0,1.761193495834929
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.15,0.7292857162421053
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.25,0.7569252686730519
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.35,0.7932702642916164
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.5,0.868010707608988
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.75,1.0819412057878806
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.25,logistic_regression,1.0,2.0664020833206855
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.15,0.7240226248021997
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.25,0.7457558934930524
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.35,0.7740303169613725
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.5,0.8317219421770425
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.75,0.9959867879895523
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.5,logistic_regression,1.0,1.73254571476926
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.15,0.7204770161551888
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.25,0.7394281832249615
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.35,0.7644847538683945
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.5,0.8161610723924736
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.75,0.9635771927796657
last_quarter_by_subject,Q1,blend_logistic_regression_rule_0.75,logistic_regression,1.0,1.5945752370172712
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.15,0.7145054779078831
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.25,0.7285925786146357
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.35,0.7478196014859307
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.5,0.7880705626018689
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,0.75,0.900808616722524
last_quarter_by_subject,Q1,model_linear_svc,linear_svc,1.0,1.2213234541141258
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.15,0.728526355998933
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.25,0.7553433691368664
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.35,0.7904989827837157
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.5,0.8623108319470457
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,0.75,1.0627839618867543
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.25,linear_svc,1.0,1.7114518246509833
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.5,linear_svc,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.5,linear_svc,0.15,0.7223214687667624
last_quarter_by_subject,Q1,blend_linear_svc_rule_0.5,linear_svc,0.25,0.7420934855179072
