,count,unique,top,freq,mean,min,25%,50%,75%,max,std
subject_id,700,10,id04,84,,,,,,,
lifelog_date,700,,,,2024-08-17 17:18:51.428571,2024-06-03 00:00:00,2024-07-22 00:00:00,2024-08-17 00:00:00,2024-09-10 00:00:00,2024-11-19 00:00:00,
ch2025_mACStatus_m_charging_count,700.0,,,,1342.7085714285715,390.0,1356.0,1398.5,1420.0,1440.0,164.94821898973245
ch2025_mACStatus_m_charging_mean,700.0,,,,0.2899407151611013,0.0,0.15282103055954646,0.2672416610828744,0.39533820570481715,0.9717948717948718,0.17958458546743689
ch2025_mACStatus_m_charging_std,700.0,,,,0.4042534983100373,0.0,0.35881205831133367,0.4358772187616358,0.4830213970119111,0.5001927203742347,0.10195936671545466
ch2025_mACStatus_m_charging_min,700.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_mACStatus_m_charging_max,700.0,,,,0.9814285714285714,0.0,1.0,1.0,1.0,1.0,0.13510220487962207
ch2025_mACStatus_m_charging_sum,700.0,,,,391.23571428571427,0.0,205.5,355.0,545.25,1186.0,245.10077956186774
ch2025_mActivity_m_activity_count,700.0,,,,1372.9457142857143,390.0,1410.0,1440.0,1440.0,1440.0,167.00128042625843
ch2025_mActivity_m_activity_mean,700.0,,,,2.991696441132278,2.167216721672167,2.8520833333333333,2.9715277777777778,3.0776041666666667,4.023076923076923,0.2622731806385639
ch2025_mActivity_m_activity_std,700.0,,,,1.0405049205285017,0.0,0.8182430500179894,1.039124631138622,1.2920429975244443,2.4108256739199647,0.3773806825853882
ch2025_mActivity_m_activity_min,700.0,,,,0.23,0.0,0.0,0.0,0.0,4.0,0.811196682207593
ch2025_mActivity_m_activity_max,700.0,,,,7.091428571428572,3.0,7.0,7.0,8.0,8.0,0.9157254146019344
ch2025_mActivity_m_activity_sum,700.0,,,,4100.977142857143,1166.0,3977.75,4211.5,4359.25,5760.0,573.6048093437402
ch2025_mLight_m_light_count,700.0,,,,137.51142857142858,39.0,141.0,144.0,144.0,146.0,16.775079811353926
ch2025_mLight_m_light_mean,700.0,,,,189.18022025840258,6.097031396296289,71.07889515455305,137.1365131288767,245.92184758797555,2621.2608695652175,232.10602269692495
ch2025_mLight_m_light_std,700.0,,,,664.1621620678326,5.1894917908296545,132.20097319877587,251.28528208781438,529.9822239980882,27843.595798267015,1841.838504805741
ch2025_mLight_m_light_min,700.0,,,,0.012857142857142857,0.0,0.0,0.0,0.0,9.0,0.3401680257083045
ch2025_mLight_m_light_max,700.0,,,,6397.014827420371,25.98750114440918,690.5081329345703,1415.0050048828125,5174.0,334306.0,21246.302880890584
ch2025_mLight_m_light_sum,700.0,,,,25463.919539614744,579.8925213813782,9495.262594878674,19228.5,33436.75,373566.0,29777.9442309598
ch2025_mScreenStatus_m_screen_use_count,700.0,,,,1342.3614285714286,390.0,1350.75,1400.0,1420.0,1440.0,164.62218224710452
ch2025_mScreenStatus_m_screen_use_mean,700.0,,,,0.22899855515192533,0.0,0.1437497990289077,0.22064538794074423,0.2936301622418879,0.7161971830985916,0.10930187901826277
ch2025_mScreenStatus_m_screen_use_std,700.0,,,,0.3995818968003677,0.0,0.3509705782344393,0.41483376966813434,0.4552901263322541,0.5001833841082253,0.0713893849284006
ch2025_mScreenStatus_m_screen_use_min,700.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_mScreenStatus_m_screen_use_max,700.0,,,,0.9985714285714286,0.0,1.0,1.0,1.0,1.0,0.037796447300922714
ch2025_mScreenStatus_m_screen_use_sum,700.0,,,,306.58,0.0,188.75,291.0,401.25,1017.0,150.02134573918565
ch2025_wLight_w_light_count,664.0,,,,954.4292168674699,30.0,716.75,1027.5,1236.25,1437.0,320.5656733650048
ch2025_wLight_w_light_mean,664.0,,,,198.6369733369716,0.0,67.83466308527835,159.39044075059985,269.3662050222632,2028.1493055555557,189.6035905127249
ch2025_wLight_w_light_std,664.0,,,,850.8132795281381,0.0,155.23458285133302,459.7174076251731,1143.853178100299,5509.503546098392,1012.821254210568
ch2025_wLight_w_light_min,664.0,,,,0.04066265060240964,0.0,0.0,0.0,0.0,11.0,0.6332921814451365
ch2025_wLight_w_light_max,664.0,,,,17069.48343373494,0.0,1772.5,8029.0,21496.0,126950.0,22859.140801454472
ch2025_wLight_w_light_sum,664.0,,,,189153.3719879518,0.0,63849.25,149079.0,265752.25,1308747.0,179602.80572630782
ch2025_wPedo_step_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_step_mean,653.0,,,,3.6199561761727845,0.0,1.8914785142024764,3.37980241492865,4.834659593280283,21.394849785407725,2.558222857969973
ch2025_wPedo_step_std,653.0,,,,13.369446188950162,0.0,9.250600579190177,13.756983584769847,17.463860365641434,44.43794946519589,6.827051095109848
ch2025_wPedo_step_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_step_max,653.0,,,,114.81470137825421,0.0,99.0,115.0,134.0,317.0,49.2933590218874
ch2025_wPedo_step_sum,653.0,,,,3954.2434915773356,0.0,2102.0,3724.0,5508.0,16041.0,2694.2988554580875
ch2025_wPedo_step_frequency_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_step_frequency_mean,653.0,,,,0.060332602936213064,0.0,0.0315246419033746,0.056330040248810824,0.08057765988800472,0.3565808297567954,0.04263704763283288
ch2025_wPedo_step_frequency_std,653.0,,,,0.2228241031491694,0.0,0.15417667631983636,0.22928305974616392,0.2910643394273574,0.740632491086598,0.11378418491849744
ch2025_wPedo_step_frequency_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_step_frequency_max,653.0,,,,1.9135783563042368,0.0,1.65,1.9166666666666667,2.2333333333333334,5.283333333333333,0.8215559836981234
ch2025_wPedo_step_frequency_sum,653.0,,,,65.90405819295559,0.0,35.03333333333333,62.06666666666667,91.8,267.35,44.904980924301455
ch2025_wPedo_running_step_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_running_step_mean,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_running_step_std,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_running_step_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_running_step_max,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_running_step_sum,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_walking_step_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_walking_step_mean,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_walking_step_std,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_walking_step_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_walking_step_max,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
