target,split,logloss,method,tau,power,max_days,shrink
Q1,interleaved_offset1,0.7378459132817243,exp,5.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7287414187166127,exp,5.0,1.0,14.0,0.0
Q1,late7,1.3812773193845884,exp,5.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.6914625656004945,exp,5.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.6849429852247346,exp,5.0,1.0,14.0,0.03
Q1,late7,0.9475908130663864,exp,5.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6816368030944132,exp,5.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.675086253484754,exp,5.0,1.0,14.0,0.07
Q1,late7,0.8893466239213808,exp,5.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.6748537596834311,exp,5.0,1.0,14.0,0.12
Q1,interleaved_offset2,0.667334398492712,exp,5.0,1.0,14.0,0.12
Q1,late7,0.8503594167961445,exp,5.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6827696378412113,exp,5.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7255573964767863,exp,5.0,1.0,21.0,0.0
Q1,late7,0.9443130847456905,exp,5.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.6784009825310486,exp,5.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.682289874191384,exp,5.0,1.0,21.0,0.03
Q1,late7,0.8118117310672153,exp,5.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6740634111763742,exp,5.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.6730195442642367,exp,5.0,1.0,21.0,0.07
Q1,late7,0.7894119393456558,exp,5.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.6702009493080786,exp,5.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.66585443749091,exp,5.0,1.0,21.0,0.12
Q1,late7,0.7730231232119326,exp,5.0,1.0,21.0,0.12
Q1,interleaved_offset1,0.6800865472987656,exp,5.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.7237460410125958,exp,5.0,1.0,35.0,0.0
Q1,late7,0.9412378774394625,exp,5.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6764595466973848,exp,5.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6806622787124953,exp,5.0,1.0,35.0,0.03
Q1,late7,0.8088960667139176,exp,5.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6727321064668468,exp,5.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6716046188134907,exp,5.0,1.0,35.0,0.07
Q1,late7,0.786700028697119,exp,5.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6693387242707421,exp,5.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.6646647394198385,exp,5.0,1.0,35.0,0.12
Q1,late7,0.7705522921947258,exp,5.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6799973189416462,exp,5.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.7127009485735648,exp,5.0,1.0,56.0,0.0
Q1,late7,0.8718482576864258,exp,5.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6763865891169659,exp,5.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6805177059186245,exp,5.0,1.0,56.0,0.03
Q1,late7,0.8073306994784212,exp,5.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6726753370269623,exp,5.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6715373892090426,exp,5.0,1.0,56.0,0.07
Q1,late7,0.7858677825075238,exp,5.0,1.0,56.0,0.07
Q1,interleaved_offset1,0.6692969085355776,exp,5.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.6646258579235675,exp,5.0,1.0,56.0,0.12
Q1,late7,0.7699825114563702,exp,5.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.6799971637726342,exp,5.0,1.0,,0.0
Q1,interleaved_offset2,0.7119335126520349,exp,5.0,1.0,,0.0
Q1,late7,0.870790527923489,exp,5.0,1.0,,0.0
Q1,interleaved_offset1,0.6763864514176796,exp,5.0,1.0,,0.03
Q1,interleaved_offset2,0.6805039703566286,exp,5.0,1.0,,0.03
Q1,late7,0.8072659402387217,exp,5.0,1.0,,0.03
Q1,interleaved_offset1,0.6726752208777925,exp,5.0,1.0,,0.07
Q1,interleaved_offset2,0.6715315476619159,exp,5.0,1.0,,0.07
Q1,late7,0.7858375051205841,exp,5.0,1.0,,0.07
Q1,interleaved_offset1,0.6692968167537153,exp,5.0,1.0,,0.12
Q1,interleaved_offset2,0.6646225679279397,exp,5.0,1.0,,0.12
Q1,late7,0.7699639634336296,exp,5.0,1.0,,0.12
Q1,interleaved_offset1,0.7350830092630944,exp,7.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7191205602483534,exp,7.0,1.0,14.0,0.0
Q1,late7,1.3773799675604421,exp,7.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.690681946143043,exp,7.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.67657926764753,exp,7.0,1.0,14.0,0.03
Q1,late7,0.9448134654866153,exp,7.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6825240448906945,exp,7.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.6681575531907856,exp,7.0,1.0,14.0,0.07
Q1,late7,0.8878848428203808,exp,7.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.6771030899344517,exp,7.0,1.0,14.0,0.12
Q1,interleaved_offset2,0.6618990010911393,exp,7.0,1.0,14.0,0.12
Q1,late7,0.8502914588335049,exp,7.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6748392059788775,exp,7.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7165436867763041,exp,7.0,1.0,21.0,0.0
Q1,late7,0.932911808888802,exp,7.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.6730918708141895,exp,7.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.6745316295994277,exp,7.0,1.0,21.0,0.03
Q1,late7,0.8018869479405294,exp,7.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6712507017049887,exp,7.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.6667179396860853,exp,7.0,1.0,21.0,0.07
Q1,late7,0.7812710604195919,exp,7.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.6695785636541774,exp,7.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.6610911875105228,exp,7.0,1.0,21.0,0.12
Q1,late7,0.7668458916091812,exp,7.0,1.0,21.0,0.12
Q1,interleaved_offset1,0.6717010591341778,exp,7.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.712734827233363,exp,7.0,1.0,35.0,0.0
Q1,late7,0.931096860322488,exp,7.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6705939719957887,exp,7.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6710415419999076,exp,7.0,1.0,35.0,0.03
Q1,late7,0.8001927603512999,exp,7.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6694183743168912,exp,7.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6636141769082625,exp,7.0,1.0,35.0,0.07
Q1,late7,0.7797304847901718,exp,7.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6683713936494694,exp,7.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.6584173324129502,exp,7.0,1.0,35.0,0.12
Q1,late7,0.7654857553532914,exp,7.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6714122755427329,exp,7.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.6845096606274362,exp,7.0,1.0,56.0,0.0
Q1,late7,0.8155182042292365,exp,7.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6703464660222387,exp,7.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6697933578199697,exp,7.0,1.0,56.0,0.03
Q1,late7,0.7903551360724463,exp,7.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6692186056959593,exp,7.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6630625153180374,exp,7.0,1.0,56.0,0.07
Q1,late7,0.7745354445338408,exp,7.0,1.0,56.0,0.07
Q1,interleaved_offset1,0.6682218273340663,exp,7.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.6581145030974658,exp,7.0,1.0,56.0,0.12
Q1,late7,0.762073396752686,exp,7.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.6714097570800132,exp,7.0,1.0,,0.0
Q1,interleaved_offset2,0.6831260801177446,exp,7.0,1.0,,0.0
Q1,late7,0.8136347540831997,exp,7.0,1.0,,0.0
Q1,interleaved_offset1,0.670344179866988,exp,7.0,1.0,,0.03
Q1,interleaved_offset2,0.6695647595929707,exp,7.0,1.0,,0.03
Q1,late7,0.7896722064073659,exp,7.0,1.0,,0.03
Q1,interleaved_offset1,0.669216613585751,exp,7.0,1.0,,0.07
Q1,interleaved_offset2,0.662956461465306,exp,7.0,1.0,,0.07
Q1,late7,0.7741514879078671,exp,7.0,1.0,,0.07
