,day_coverage_rate,median_rows_on_available_day,mean_rows_all_days
ch2025_mACStatus_rows,1.0,1398.5,1342.7085714285715
ch2025_mActivity_rows,1.0,1440.0,1372.9457142857143
ch2025_mAmbience_rows,1.0,720.0,680.8242857142857
ch2025_mLight_rows,1.0,144.0,137.51142857142858
ch2025_mScreenStatus_rows,1.0,1400.0,1342.3614285714286
ch2025_mUsageStats_rows,0.9857142857142858,67.0,64.56714285714285
ch2025_mWifi_rows,0.9785714285714285,119.0,109.05142857142857
ch2025_wLight_rows,0.9485714285714286,1027.5,905.3442857142857
ch2025_mGps_rows,0.9428571428571428,1387.0,1143.73
ch2025_wPedo_rows,0.9328571428571428,1280.0,1068.7142857142858
ch2025_mBle_rows,0.93,32.0,31.185714285714287
ch2025_wHr_rows,0.9085714285714286,611.0,547.0257142857142
